"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 16 16:02:00 BRT 2022","Wed Mar 16 16:02:06 BRT 2022","5907","chromium","specs\signUp.spec.js","Test signUp Requirements","","","Test signUp - Short Password",""
"passed","Wed Mar 16 16:02:06 BRT 2022","Wed Mar 16 16:02:11 BRT 2022","5566","chromium","specs\signUp.spec.js","Test signUp Requirements","","","Test signUp - email Requirements",""
"passed","Wed Mar 16 10:55:36 BRT 2022","Wed Mar 16 10:55:59 BRT 2022","23304","firefox","specs\createDeelContract.spec.js","Create Contract","","","Create Contract Page Elements",""
"passed","Wed Mar 16 16:01:51 BRT 2022","Wed Mar 16 16:02:02 BRT 2022","11039","firefox","specs\signUp.spec.js","Test signUp Requirements","","","Test signUp - Password Unmatch",""
"passed","Wed Mar 16 10:51:16 BRT 2022","Wed Mar 16 10:51:21 BRT 2022","5595","edge","specs\loginPage.spec.js","Test login page","","","Check Login Page Elements",""
"passed","Wed Mar 16 16:02:00 BRT 2022","Wed Mar 16 16:02:05 BRT 2022","5423","edge","specs\signUp.spec.js","Test signUp Requirements","","","Test signUp - Short Password",""
"passed","Wed Mar 16 10:51:21 BRT 2022","Wed Mar 16 10:51:25 BRT 2022","3644","edge","specs\loginPage.spec.js","Test login page","","","Login Test",""
"passed","Wed Mar 16 10:50:46 BRT 2022","Wed Mar 16 10:50:56 BRT 2022","9097","firefox","specs\loginPage.spec.js","Test login page","","","Check Login Page Elements",""
"passed","Wed Mar 16 10:50:27 BRT 2022","Wed Mar 16 10:50:31 BRT 2022","4234","chromium","specs\loginPage.spec.js","Test login page","","","Login Test",""
"failed","Wed Mar 16 10:50:07 BRT 2022","Wed Mar 16 10:50:20 BRT 2022","12938","chromium","specs\createAccount.spec.js","Test login page","","","Login Page Elements",""
"passed","Wed Mar 16 16:02:05 BRT 2022","Wed Mar 16 16:02:10 BRT 2022","5119","edge","specs\signUp.spec.js","Test signUp Requirements","","","Test signUp - email Requirements",""
"passed","Wed Mar 16 10:50:56 BRT 2022","Wed Mar 16 10:51:01 BRT 2022","5041","firefox","specs\loginPage.spec.js","Test login page","","","Login Test",""
"passed","Wed Mar 16 16:01:51 BRT 2022","Wed Mar 16 16:02:00 BRT 2022","8681","edge","specs\signUp.spec.js","Test signUp Requirements","","","Test signUp - Password Unmatch",""
"passed","Wed Mar 16 16:02:13 BRT 2022","Wed Mar 16 16:02:18 BRT 2022","5181","firefox","specs\signUp.spec.js","Test signUp Requirements","","","SignUp Success",""
"passed","Wed Mar 16 10:50:21 BRT 2022","Wed Mar 16 10:50:27 BRT 2022","5343","chromium","specs\loginPage.spec.js","Test login page","","","Check Login Page Elements",""
"passed","Wed Mar 16 16:02:02 BRT 2022","Wed Mar 16 16:02:08 BRT 2022","5383","firefox","specs\signUp.spec.js","Test signUp Requirements","","","Test signUp - Short Password",""
"passed","Wed Mar 16 16:02:08 BRT 2022","Wed Mar 16 16:02:13 BRT 2022","5335","firefox","specs\signUp.spec.js","Test signUp Requirements","","","Test signUp - email Requirements",""
"passed","Wed Mar 16 10:55:56 BRT 2022","Wed Mar 16 10:56:13 BRT 2022","17009","edge","specs\createDeelContract.spec.js","Create Contract","","","Create Contract Page Elements",""
"passed","Wed Mar 16 10:55:36 BRT 2022","Wed Mar 16 10:55:53 BRT 2022","17109","chromium","specs\createDeelContract.spec.js","Create Contract","","","Create Contract Page Elements",""
"failed","Wed Mar 16 10:51:02 BRT 2022","Wed Mar 16 10:51:15 BRT 2022","12778","edge","specs\createAccount.spec.js","Test login page","","","Login Page Elements",""
"passed","Wed Mar 16 16:01:51 BRT 2022","Wed Mar 16 16:02:00 BRT 2022","8538","chromium","specs\signUp.spec.js","Test signUp Requirements","","","Test signUp - Password Unmatch",""
"passed","Wed Mar 16 16:02:10 BRT 2022","Wed Mar 16 16:02:15 BRT 2022","4793","edge","specs\signUp.spec.js","Test signUp Requirements","","","SignUp Success",""
"passed","Wed Mar 16 16:02:11 BRT 2022","Wed Mar 16 16:02:16 BRT 2022","5120","chromium","specs\signUp.spec.js","Test signUp Requirements","","","SignUp Success",""
"failed","Wed Mar 16 10:50:24 BRT 2022","Wed Mar 16 10:50:43 BRT 2022","18647","firefox","specs\createAccount.spec.js","Test login page","","","Login Page Elements",""
